epoch,train_loss,val_loss,train_acc,val_acc
1,2.6089181627079467,2.241153880022466,0.24286020058708416,0.32376802884615385
2,2.1310642568099287,2.066478533670306,0.3455999266144814,0.36414513221153844
3,1.8974518547319386,1.966699855402112,0.4029323630136986,0.39306640625
4,1.7203822223407648,1.8993476200848818,0.450021404109589,0.4135084885817308
5,1.5518006488768321,1.8363880347460508,0.49431262230919765,0.43179086538461536
6,1.4065093965563056,1.818783468566835,0.533283390410959,0.445068359375
7,1.2646879758503573,1.8161370633170009,0.5714744373776908,0.45364145132211536
8,1.1560597496140026,1.82062603905797,0.6040086839530333,0.462158203125
9,1.0749132984888297,1.8201745664700866,0.6283023483365949,0.4710036057692308
10,1.0271512263558382,1.8330918923020363,0.6449822651663405,0.4706373948317308
11,0.9739787543006606,1.7234803717583418,0.6561429794520548,0.49129544771634615
12,0.9190518280997901,1.6754966471344233,0.6758653375733855,0.5092679537259616
13,0.8705817069092842,1.6617123633623123,0.6901143590998043,0.5094181941105769
14,0.8433970044678671,1.6613755831494927,0.6989206213307241,0.5137282151442307
15,0.8285797126664107,1.653989234007895,0.7015502690802349,0.5160757211538461
